epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.12626262626262627,0.5068699118633648,0.11641102381843121,0.10265377522653779,0.10649280330569955,0.0058880153234986965,2.2187160680705738,0.13988095238095238,0.5101292795496114,0.1095679012345679,0.032149172754122345,0.04003594938517028,-0.0009483362882942714,"[[  0   3   0   0 105   0   0   0   0]
 [  0   3   0   0 105   0   0   0   0]
 [  0   4   0   1 103   0   0   0   0]
 [  0   5   0   0 103   0   0   0   0]
 [  0   4   0   2 138   0   0   0   0]
 [  0   9   0   1  98   0   0   0   0]
 [  0  11   0   0  97   0   0   0   0]
 [  0   8   0   0 100   0   0   0   0]
 [  0  10   0   0  98   0   0   0   0]]",2.1982002825964067
2,0.1272246272246272,0.5078460313426487,0.11513280957725404,0.10146589190851858,0.10576718210075242,0.0049258189296381705,2.208224787053837,0.1130952380952381,0.5118782864654778,0.11445473251028807,0.03479330427121592,0.037915765626609005,0.005245588936576118,"[[  0 104   0   0   4   0   0   0   0]
 [  0 103   0   0   5   0   0   0   0]
 [  0 107   0   0   1   0   0   0   0]
 [  0 106   0   0   2   0   0   0   0]
 [  0 132   0   1  11   0   0   0   0]
 [  0 106   0   0   2   0   0   0   0]
 [  0 103   0   0   5   0   0   0   0]
 [  0 105   0   0   3   0   0   0   0]
 [  0 105   0   0   3   0   0   0   0]]",2.2014797944871205
3,0.12626262626262627,0.5140923256550205,0.10920937772789625,0.08257934702559189,0.08788916132155437,-0.0019107652910470563,2.2003915600045016,0.10912698412698413,0.5271156978737996,0.11239711934156377,0.02585619339156197,0.026333318137381538,0.0018657457028303792,"[[  0   0   0   0   0 108   0   0   0]
 [  0   0   0   0   1 106   1   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   3 141   0   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   0 108   0   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   1 107   0   0   0]]",2.2050952532934764
4,0.13564213564213565,0.5196880646049807,0.1208380097268986,0.098856558355286,0.10396257752320558,0.012579233471358142,2.1953039457156946,0.11408730158730158,0.5481078353623685,0.1154835390946502,0.0365849906894683,0.0395254881262344,0.006160817202591651,"[[  0   0   0   0   4   0   0   0 104]
 [  0   1   0   0   6   0   0   0 101]
 [  0   0   0   0   2   0   0   0 106]
 [  0   0   0   0   2   0   0   0 106]
 [  0   0   0   1  11   0   0   0 132]
 [  0   0   0   0   2   0   0   0 106]
 [  0   0   0   0   6   0   0   0 102]
 [  0   0   0   0   4   0   0   0 104]
 [  0   1   0   0   4   0   0   0 103]]",2.2030970217689636
5,0.14309764309764308,0.5313011936507697,0.12610674647711687,0.09577434309467996,0.10143642528757782,0.019349765315901934,2.1882680543860085,0.10813492063492064,0.5628983053269319,0.11162551440329217,0.02643915927541089,0.02641656257317847,0.0006748977728372463,"[[  0   0   0   0   1 105   0   0   2]
 [  0   0   0   0   2 104   0   0   2]
 [  0   0   0   1   0 106   0   0   1]
 [  0   0   0   0   1 106   0   0   1]
 [  0   0   0   2   2 133   4   0   3]
 [  0   0   0   1   0 106   0   0   1]
 [  0   0   0   0   2 104   0   0   2]
 [  0   0   0   0   1 106   0   0   1]
 [  0   0   0   0   2 105   0   0   1]]",2.2242933265746587
6,0.1530784030784031,0.5450286212606171,0.14066591844369622,0.11654144847225918,0.12157946961316063,0.03607791382554937,2.1820427858812295,0.11507936507936507,0.5665175790180612,0.11754115226337447,0.039772521324684174,0.041328264610707356,0.007944073721004141,"[[  0   0   5   0   1 102   0   0   0]
 [  0   0   7   0   4  97   0   0   0]
 [  0   0   3   0   1 103   0   0   1]
 [  0   0   4   0   1 103   0   0   0]
 [  0   0   9   0   7 127   0   0   1]
 [  0   0   1   0   2 104   0   0   1]
 [  0   0   2   0   4  99   0   0   3]
 [  0   0   1   0   3 103   0   0   1]
 [  0   0   3   0   1 102   0   0   2]]",2.256687179444328
7,0.16354016354016354,0.5603239255421573,0.15107868811572517,0.12573816861025774,0.13057043149325612,0.04776152969878311,2.1709377020239087,0.11011904761904762,0.5813381630086877,0.11316872427983538,0.027331295433607114,0.02819849571189995,0.0028980904363016258,"[[  0   0   0   0   0 107   0   0   1]
 [  0   0   0   0   2 106   0   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   1   0   4 137   0   1   1]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   0 108   0   0   0]
 [  0   0   0   0   1 107   0   0   0]
 [  0   0   0   0   1 107   0   0   0]]",2.33867135123601
8,0.1764069264069264,0.5839498263383722,0.1647649332834518,0.14368252811468998,0.14808681349958278,0.0632519380034291,2.152612954163104,0.12698412698412698,0.5852788851737539,0.12988683127572018,0.05925998893103362,0.06005053749911132,0.021134593993325956,"[[ 0  1  0  0  3 47  1  1 55]
 [ 0  0  0  0  6 50  0  5 47]
 [ 0  0  0  0  2 58  0  2 46]
 [ 0  0  0  0  3 63  0  2 40]
 [ 0  0  1  1  7 70  0  3 62]
 [ 0  0  1  0  1 58  0  0 48]
 [ 0  0  0  0  3 60  0  0 45]
 [ 0  0  0  0  1 61  1  3 42]
 [ 0  0  0  0  2 43  0  3 60]]",2.2536668588244724
9,0.18746993746993748,0.5973416678633195,0.17882528993640104,0.15882677884130691,0.16267566440102676,0.07860736253086398,2.14115552537541,0.12202380952380952,0.5768422067901234,0.12551440329218108,0.05536247881836007,0.055240535001563354,0.016276300119094866,"[[  0   0   0   0   0   7   0   3  98]
 [  0   0   0   0   1  14   0  12  81]
 [  0   0   1   0   1  15   0   3  88]
 [  0   0   0   0   1  22   0   5  80]
 [  0   0   0   0   4  22   0   9 109]
 [  0   0   0   0   1  17   0   0  90]
 [  0   0   1   0   0  12   0   3  92]
 [  0   0   0   0   1   8   0   6  93]
 [  0   0   1   0   1   8   0   3  95]]",2.3138127932472834
10,0.1925204425204425,0.6074122520146807,0.1844681381718419,0.16779781086889267,0.17097122803200718,0.08413828040897642,2.1311595980051106,0.12797619047619047,0.5709529320987654,0.12911522633744854,0.05871923054541475,0.06177675434405053,0.021391650099403692,"[[  0   0   0   0   5  90   7   5   1]
 [  0   0   0   0   7  85   6  10   0]
 [  0   0   0   0   5  96   3   4   0]
 [  0   0   0   0   4  89   3  12   0]
 [  0   0   0   0  14 107  10  12   1]
 [  0   0   0   0   2 100   2   4   0]
 [  0   0   0   0   1 100   2   5   0]
 [  0   0   0   0   7  83   4  13   1]
 [  0   0   0   0   5  98   2   3   0]]",2.2841423428247847
11,0.2037037037037037,0.6184674854711641,0.19759321611173464,0.1845774642774972,0.1877075108898009,0.09935396123767426,2.114346614303699,0.15476190476190477,0.5936187557155921,0.15097736625514402,0.08826501153731667,0.09448452353661715,0.04812066076131194,"[[ 1  1  1  0 12  7  4  0 82]
 [ 0  0  0  2 24  8  4  0 70]
 [ 0  0  1  0 14 12  3  0 78]
 [ 0  1  0  2 14 12  4  0 75]
 [ 1  1  1  1 37 11  2  2 88]
 [ 0  1  0  1  6 17  2  1 80]
 [ 0  0  0  0 11  6  3  1 87]
 [ 1  1  0  0 13  8  4  1 80]
 [ 0  1  1  0  7  5  0  0 94]]",2.2541247681965904
12,0.2107984607984608,0.633528828890392,0.20336076817558302,0.18878523970988803,0.19217300584222463,0.10638008169616797,2.09624780216373,0.16567460317460317,0.6176245641860997,0.15637860082304525,0.10855694282070413,0.11374061588366147,0.05319448353504086,"[[ 0  4  3  2 47 36  9  2  5]
 [ 1  3  2  8 41 46  5  1  1]
 [ 2  0  2  0 35 60  3  1  5]
 [ 0  6  3  9 34 48  4  2  2]
 [ 0  5  6  8 60 47  6  4  8]
 [ 0  3  2  3 16 73  4  4  3]
 [ 0  3  2  3 32 57  7  2  2]
 [ 1  1  0  3 34 54 10  4  1]
 [ 0  2  4  0 30 61  2  0  9]]",2.187031853766668
13,0.20995670995670995,0.641384248972243,0.20376605561790748,0.19504874631321098,0.19789566047486842,0.1062397061609992,2.0831713091587436,0.13392857142857142,0.5882574945701875,0.1332304526748971,0.06123306794545761,0.06511346444326876,0.025553119394060242,"[[  0   0   0   0  12  87   1   0   8]
 [  0   2   0   0  24  74   0   0   8]
 [  0   0   1   0  12  87   0   0   8]
 [  0   1   2   1  16  82   0   0   6]
 [  0   2   2   0  22  97   3   0  18]
 [  0   1   0   1   1 101   0   0   4]
 [  0   0   1   0   7  94   0   0   6]
 [  0   2   1   0  15  83   0   0   7]
 [  0   1   1   0   6  92   0   0   8]]",2.3409524512669395
