epoch,adv_loss,disc_loss,generator_loss,kl_loss,logits_fake,logits_real,loss,rec_loss,spectral_loss,val_adv_loss,val_kl_loss,val_loss,val_rec_loss,val_spectral_loss
1,,,,3070.840535949707,,,1.8247489797274272,0.2508716450333595,15.431689043680827,,5873.584392022649,1.6216667409336896,0.19125123356187015,13.716796341292355
2,,,,5336.590334472657,,,1.5464894656340282,0.1750114678144455,13.181120725949606,,6133.087234357082,1.4928608739047968,0.1640584936211689,12.674714810257658
3,,,,6436.009552246093,,,1.4465302903254826,0.1464128084058563,12.357573649724324,,8294.31227153813,1.4633181871624168,0.12812154053137936,12.522535035369593
4,,,,7185.030945963542,,,1.3813372573455174,0.13268617394814888,11.768007539431254,,8183.538112815367,1.390952876128188,0.11889767207615419,11.902198047812925
5,,,,7404.718594075521,,,1.3537441206971805,0.12792151636381943,11.51775398572286,,7646.097441227064,1.3748390182442622,0.11957574640870641,11.788022793761087
6,2.2560732602948943,0.006258815235535083,1.3596872896154721,7515.18937109375,-2.2538993044706683,3.6350353397777457,1.3596872896154721,0.12526003714650868,11.367146049817404,0.22450981043074109,8230.976047340882,1.3323248488093735,0.11995785406559979,11.300572156906128
7,2.4409016354084017,5.827773091897422e-05,1.3392341680725415,7469.613954589844,-2.4377996099789936,4.616532030661901,1.3392341680725415,0.1225555035273234,11.175734895706176,0.3242526840452754,8277.803522792432,1.3138333684807524,0.1099426037879712,11.211127134638096
8,2.424146940867106,4.716231869121312e-05,1.3275827020804087,7425.498178873698,-2.421331586440404,4.628264358997345,1.3275827020804087,0.12113842890163262,11.079478023370108,0.035142920603719326,8446.371151985379,1.305996140482229,0.10859040090592083,11.129420155778938
9,2.371285300016403,0.0001987033364603946,1.312917792101701,7400.021219075521,-2.368449342528979,4.813006272132198,1.312917792101701,0.1191618982454141,10.960428097089132,0.13986661149735707,8415.579209073969,1.284866459325913,0.10866713455510796,10.920435223010703
10,2.281674353957176,3.850383605328715e-05,1.3007491353551546,7392.646449544271,-2.2803316330512367,4.9582173984050755,1.3007491353551546,0.11758239655196667,10.864235115845998,0.16081034632999378,8308.734108461153,1.277852966697938,0.10682804294682424,10.879375645873743
11,2.260114725470543,4.18510589243463e-05,1.2868396720488866,7392.082046712239,-2.258235267043114,5.1381756405830386,1.2868396720488866,0.11616603109488885,10.741516556739807,-0.35126413521143274,8456.839270355504,1.2677587645316342,0.1066415312469279,10.76548824835261
12,2.1249400415023167,1.516556260927097e-06,1.2782343904773394,7397.63775016276,-2.123703440507253,5.402291106859843,1.2782343904773394,0.11549208386242389,10.67516510216395,-0.15369884703530495,8272.238382042002,1.2664503064177453,0.10473497100857966,10.789929300273231
13,2.129674596627553,4.259286484090315e-07,1.273490577995777,7360.306127604166,-2.1288711154460906,5.325020246108373,1.273490577995777,0.1150515788992246,10.635391755580901,0.057623705291616464,7430.673532468463,1.4078334638284982,0.11936505485770352,12.141616512876038
14,2.102063998659452,8.337730560015188e-08,1.2662300562262536,7338.875483561198,-2.1014100384314855,5.434396297375361,1.2662300562262536,0.1145691300307711,10.572515143553415,-0.24891892033671842,8262.753825616399,1.262000275314401,0.1044309403952382,10.74941775995657
15,2.0790431446234385,2.3765798417230143e-08,1.2539686713616054,7320.365339192708,-2.0784860583941143,5.557052154699961,1.2539686713616054,0.11336466287573178,10.466099053064982,0.00015466050629358772,8320.463920943233,1.2485092851000095,0.10261006945522007,10.62694556778724
16,2.045230466286341,1.5288928203460728e-09,1.2490027594168982,7311.852782226562,-2.0446615232229233,5.470803620020549,1.2490027594168982,0.11293724260975917,10.424946676095328,0.07869247555809625,8308.198613997993,1.252746420715927,0.1043721527852323,10.652922575626897
17,2.0648979717095695,1.9636967200161355e-08,1.2440872972806294,7247.123971354166,-2.064610506931941,5.436027587254842,1.2440872972806294,0.11233080588529508,10.386362564086914,0.1512989416257094,8247.10860898079,1.2413435146349285,0.10342942034706064,10.554429924816166
18,2.116677172501882,2.1661924165528035e-10,1.2438162864844005,7257.1084449869795,-2.1164390883843103,5.387890764315923,1.2438162864844005,0.1125103967015942,10.375680168469747,0.11185094016100015,8364.214866148222,1.2405641327757355,0.10314977931183412,10.537721948886137
19,2.115213773647944,0.0,1.2421687661806742,7259.694208496094,-2.1151211118300757,5.435940903027852,1.2421687661806742,0.11234030037124952,10.360793712774912,0.30867212163198976,7791.009586439221,1.2968109252802822,0.10585153917995614,11.130492739721175
20,2.1152951621611913,0.0,1.2422091619173685,7266.444116048177,-2.115279541452726,5.429688849369684,1.2422091619173685,0.11238046296934287,10.360112898508708,0.09847198122481648,8187.846554257454,1.2431200693506714,0.10271482928356993,10.585267537230745
