epoch,jepa_loss,loss,val_jepa_loss,val_loss
1,0.18737047480113803,0.18737047480113803,0.22208745046095416,0.22208745046095416
2,0.22826855782247024,0.22826855782247024,0.27598536608589663,0.27598536608589663
3,0.27463176905228,0.27463176905228,0.2831008236903649,0.2831008236903649
4,0.28500523043255654,0.28500523043255654,0.3114022397994995,0.3114022397994995
5,0.29595299584142276,0.29595299584142276,0.3104674564353351,0.3104674564353351
6,0.31576400921970116,0.31576400921970116,0.3141443527796689,0.3141443527796689
7,0.3182527848652431,0.3182527848652431,0.33477143616211125,0.33477143616211125
8,0.3220037489365309,0.3220037489365309,0.3277797931088851,0.3277797931088851
9,0.29765425468313284,0.29765425468313284,0.3371790200471878,0.3371790200471878
10,0.3192468224601312,0.3192468224601312,0.308134972657028,0.308134972657028
11,0.3062752239607476,0.3062752239607476,0.3140353620857806,0.3140353620857806
12,0.3178485524323251,0.3178485524323251,0.33401976329715627,0.33401976329715627
13,0.3434337919408625,0.3434337919408625,0.3193920608609915,0.3193920608609915
14,0.32425153255462646,0.32425153255462646,0.34080323080221814,0.34080323080221814
15,0.33549881832940237,0.33549881832940237,0.36119830947030673,0.36119830947030673
16,0.30398370573918027,0.30398370573918027,0.35006232966076245,0.35006232966076245
17,0.34333132372962105,0.34333132372962105,0.32887195253914053,0.32887195253914053
18,0.3113084266583125,0.3113084266583125,0.3582160510122776,0.3582160510122776
19,0.31941048259084875,0.31941048259084875,0.36006417586689904,0.36006417586689904
20,0.31343622008959454,0.31343622008959454,0.3153635412454605,0.3153635412454605
