epoch,adv_loss,commitment_loss,disc_loss,generator_loss,logits_fake,logits_real,loss,rec_loss,spectral_loss,val_adv_loss,val_commitment_loss,val_loss,val_rec_loss,val_spectral_loss
1,,0.004776448386633379,,,,,0.3664801719159359,0.12272012008756107,2.3898359924155392,,0.006317380737821241,0.2606329030447429,0.06959125438430411,1.8472426490780944
2,,0.005267322550248354,,,,,0.2980905439376831,0.0911107929982245,2.0171242512226106,,0.006620390471116605,0.23605260456384328,0.05963792852037544,1.6979428247853359
3,,0.005848941700113937,,,,,0.27794911358058455,0.08317251132577658,1.8892765712738038,,0.007142610383227528,0.23062284219546528,0.056168769536409015,1.673114587565721
4,,0.0066599767006933685,,,,,0.2650317947715521,0.07734135779179632,1.8103045694470405,,0.006112542173925525,0.25467473526875817,0.06189430346414726,1.866678861291727
5,,0.006403624006500468,,,,,0.25785170734226703,0.07485733158029616,1.7659074872493743,,0.006946872536955114,0.21246529165827047,0.051092099197330126,1.5442631732895626
6,1.024202262687683,0.006899879945255816,0.57862135014534,0.2770172647207975,-0.7479590103149414,0.8373329760551452,0.2770172647207975,0.07889234738722443,1.8098309329509734,0.21056325314781082,0.007922964889721404,0.22301885393804394,0.054811242223751604,1.6028464442882944
7,0.8171759374022484,0.00727810944095254,0.6540248720169067,0.2708765468150377,-0.6003065886020661,0.6642392775297165,0.2708765468150377,0.07736139857061207,1.7806530533671379,0.29728241669966876,0.007657845754848046,0.22906193924715854,0.05826059076331517,1.6314350037668157
8,0.72855358543396,0.007615396485663951,0.6741590768933297,0.2627766250193119,-0.5569824297189713,0.6044355581283569,0.2627766250193119,0.07412519786693156,1.7375048463225364,-0.051336934489588586,0.00785586379684641,0.24951666360935582,0.061804168494104424,1.798566280662464
9,0.6565679028153419,0.0081008944503963,0.7043257831573486,0.25772522158920763,-0.5015071316719055,0.5514975867748261,0.25772522158920763,0.07223171843364835,1.7082687979578972,-0.11679196467597364,0.008404693312509509,0.22458581614398188,0.05576701445839247,1.6041410575676625
10,0.6226663860321044,0.008235883550904691,0.7165477064490319,0.25286103846132757,-0.4802794371843338,0.5245857906341552,0.25286103846132757,0.07038844990283251,1.6801005350589753,0.23386195288275793,0.008914217811554223,0.21370254554850165,0.051503137664838314,1.5328518732146184
11,0.5761056709766388,0.008181599002750591,0.7356702507257461,0.24838793481886387,-0.4527222707390785,0.4917571045398712,0.24838793481886387,0.06875100557357072,1.6569429586887359,0.14202195804239967,0.007129228001670732,0.23908944780110009,0.05708682602636241,1.7487338987020304
12,0.5461840383172035,0.007972979067871347,0.7415288735389709,0.24472004137039186,-0.43299745697975156,0.47569141479730603,0.24472004137039186,0.06746539150252938,1.6381984648704528,0.4690915648288991,0.008428497953058224,0.19954857548424107,0.045385751870706516,1.4573432293630415
13,0.5324309182167053,0.007770148209854961,0.7423693680405616,0.24137217940241099,-0.4280459134221077,0.474312059366703,0.24137217940241099,0.06637972595132888,1.6189804103851317,0.01758063773405717,0.008074977517252453,0.2009175248993432,0.04629260385870367,1.4654994121310623
14,0.5258404027581215,0.0075076087619643656,0.7398923027038574,0.23919729093909264,-0.43575373125076294,0.47657898120880127,0.23919729093909264,0.06551982744038105,1.6091146551012994,0.4593936287313013,0.007935747663835965,0.2070404734968933,0.04917326899972843,1.4993145439928304
15,0.5264813309431076,0.0072783038194291294,0.7339462106227874,0.23737326596081257,-0.44727848839759826,0.4718929651260376,0.23737326596081257,0.06500882469676435,1.5982133321166039,0.16260090291774768,0.00735103556860028,0.21230038242148502,0.05132347987477227,1.536258639948022
16,0.5352450041770935,0.007088842465681955,0.7216789485096932,0.23710536400526763,-0.4698836823940277,0.48966660615205765,0.23710536400526763,0.06511695397906006,1.5954712027549744,0.36490415757702244,0.007971870896544882,0.20835599038440922,0.0502156741267796,1.5016844269523424
17,0.5443112026691437,0.006910480782436207,0.7074499662399292,0.23457953477352858,-0.49441586894989015,0.5138561144709587,0.23457953477352858,0.06426998851113021,1.5795597108125687,0.21954137608752272,0.00651357519563206,0.2160090351979407,0.05106280639053865,1.5843265094034682
18,0.5717234875679016,0.006764410346141085,0.6794003764867783,0.23223687819242478,-0.5375208981513977,0.5600281358838082,0.23223687819242478,0.06302656919285655,1.5672861419916153,1.7440899967597927,0.005236856642335842,0.2781574186924759,0.06862605011168693,2.042945082938891
19,0.5917463314056397,0.006695259489910677,0.6544470569729804,0.23394781215041877,-0.5742926464080811,0.6092170413732528,0.23394781215041877,0.06397812650948763,1.5735690621256828,0.40490849226850517,0.007145140444525101,0.2073569906476353,0.04952632674106052,1.506855211482482
20,0.6695847585678101,0.0066614766487851735,0.6096566386461258,0.2337296153485775,-0.664326327753067,0.6911864828944206,0.2337296153485775,0.06338020129576326,1.5699207220435143,-0.0798236455785514,0.005879668775604703,0.23096198422945866,0.054545782315882765,1.7053653032686305
