epoch,adv_loss,commitment_loss,disc_loss,generator_loss,logits_fake,logits_real,loss,rec_loss,spectral_loss,val_adv_loss,val_commitment_loss,val_loss,val_rec_loss,val_spectral_loss
1,,0.005395770216290839,,,,,0.35279547628462316,0.11419364949315787,2.3320605254173277,,0.006071830362570794,0.25428426880947386,0.0673396690624706,1.8087276639888912
2,,0.005612205685785919,,,,,0.29130195536108394,0.08638419479632478,1.993055517350609,,0.00751350131115183,0.232094812048127,0.057949227672609425,1.66632080550224
3,,0.005848957624798641,,,,,0.2720419630229473,0.07879516430906952,1.8739783813238144,,nan,nan,nan,nan
4,,0.005253271531173959,,,,,0.26342326520830395,0.07641941337920725,1.8175057699918746,,nan,nan,nan,nan
5,,0.005671841733762994,,,,,0.2592680615842342,0.07534676999412478,1.7824944663763047,,0.006507676880573854,0.21474401916973807,0.05206974738849915,1.5616659276221754
6,0.9148208270549775,0.006225402521947399,0.6094881183862686,0.2707439593374729,-0.6733162299156189,0.7659097470641136,0.2707439593374729,0.07672980860732496,1.7864054428696632,nan,nan,nan,nan,nan
7,0.766507630444546,0.006516251029962032,0.6698749066472054,0.26482103643393035,-0.5590176255583763,0.6497489110946655,0.26482103643393035,0.07497708814691474,1.7566257222196202,nan,0.0067528027489626875,0.2263001260918475,0.05450387110341928,1.6504344940528892
8,0.6876932587981224,0.006397354142554104,0.6982049944162368,0.25600228242576123,-0.5159608214855194,0.5713936408996582,0.25600228242576123,0.07160561861209572,1.7112236444473266,nan,0.006682645663493506,0.2060320054498514,0.048475068730054305,1.5087428846769892
9,0.642750025177002,0.006148285742010921,0.7127727511167526,0.2519634672820568,-0.4922527439117432,0.5323634087562561,0.2519634672820568,0.07017332139909267,1.6921432519316673,nan,0.006223825341780468,0.21410851234630232,0.05127834971049427,1.56606334787772
10,0.5911120564222336,0.00585328210699372,0.7302628873348236,0.24803119708299637,-0.45404309940338133,0.5123063042163849,0.24803119708299637,0.0691335811175406,1.6713320818901063,nan,0.0057313504081899684,0.20564728664569043,0.047626664718797576,1.5228926938387655
11,0.5779168249870363,0.005636087293448312,0.7330668538570404,0.2483109414297174,-0.4468886339664459,0.5009445152759552,0.2483109414297174,0.06963058319617467,1.6726508079253604,nan,0.005366141307017495,0.2107459640211945,0.05060400829422727,1.5477581163567882
12,0.5457278630018234,0.0053836856321431694,0.7441885278701782,0.24076912755668164,-0.4309021703004837,0.46656358299255374,0.24076912755668164,0.06659038219042122,1.6333779414057732,nan,0.005210991985993975,0.21595938963824154,0.05218063741517339,1.585677577174067
13,0.5365995133042335,0.005128728595050052,0.7447316780090332,0.2401979554221034,-0.4332788629055023,0.4608172201156616,0.2401979554221034,0.06706757078133524,1.6263565997719764,nan,0.005307841573655176,0.2011906340748312,0.04768544238852417,1.481973473858174
14,0.5084778666496277,0.004891956366878003,0.7484975412845611,0.23755608097016812,-0.4198149934768677,0.4526781983375549,0.23755608097016812,0.06636143925115466,1.6121789431214333,nan,0.00523123200467792,0.2062321256047913,0.04979869693941233,1.5120219471542518
15,0.5244248111287602,0.004725259246068401,0.7366062213897705,0.23699359594732314,-0.4451654324054718,0.470969575214386,0.23699359594732314,0.06632046399153299,1.6070362530629334,nan,0.005222195537850981,0.20503453385247955,0.04960530890164063,1.5020702713542544
16,0.5215122497041217,0.004589489238857582,0.7268842941284179,0.23412092752601177,-0.4567009889960289,0.484477826499939,0.23412092752601177,0.06499710032959703,1.593192435116929,nan,0.0046354392780825785,0.20430993088113342,0.04924581538645625,1.5042867381039853
17,0.5240542665600777,0.004426986408559605,0.7150086639404297,0.23156702716052532,-0.4721011568069458,0.5097808992385864,0.23156702716052532,0.06395611395202577,1.5794337760210038,nan,0.004729428195125265,0.20397773729036411,0.04910905209155635,1.5013925394189247
18,0.5747044004900834,0.004335487829774669,0.6833450944900513,0.2336927055790916,-0.5400926718711853,0.5579492130279541,0.2336927055790916,0.06483978143319187,1.5877036319109983,nan,0.004449608147091743,0.20155262014686992,0.04781016690135759,1.492928425305038
19,0.610133596611023,0.0042598117192741486,0.6468285968780517,0.23128621602207422,-0.5908039524078369,0.6254468849182129,0.23128621602207422,0.06365004748106003,1.5727498286366464,nan,0.004435983623677332,0.20249770254686406,0.048532324962306944,1.4952939147052402
20,0.674388745212555,0.004237627831660211,0.6026040034294129,0.23532211664915084,-0.6693189045906067,0.7078848863601684,0.23532211664915084,0.06529011619538069,1.5905047040224076,nan,0.004101816967423696,0.20736203004910786,0.049187747689987606,1.540724629939701
