epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.5236688250455774,0.7970540509533238,0.4777194223821427,0.4511367835860173,0.5289679055084343,0.357452084550849,1.2106902312489003,0.6535475522967436,0.890987701024495,0.5897880669284307,0.5632034062089912,0.6570102205743878,0.5330218585021549,"[[1628   78  143   89  710]
 [   6   24  258    4  447]
 [  11   15 2601   33 1044]
 [   2    0  246  556    0]
 [   4   19  104    0 1252]]",0.9301273062719156
2,0.646822153768781,0.8669714533853174,0.5807478053453068,0.5589850709750708,0.6503072138840885,0.5200571027644352,1.0004769027828908,0.687836963554022,0.909902865753087,0.6379786842367783,0.6024309212135979,0.6928596445060267,0.582456291178006,"[[1881   99   51   57  560]
 [  26   47  222    9  435]
 [  19   42 2549  137  957]
 [   2    0  130  672    0]
 [   8   36  105    0 1230]]",0.8172342369824179
3,0.6867542591312001,0.8915506524453685,0.6181134716195734,0.6026163823978166,0.6907664685284864,0.5732733341757312,0.9083141069023436,0.7177054129825318,0.9205243648575813,0.6691351444942788,0.6425045149589541,0.7261767518641262,0.621414849678225,"[[1964  157   25   36  466]
 [  17  116  205    8  393]
 [   7   90 2689  155  763]
 [   2    0  122  680    0]
 [   5   56  111    0 1207]]",0.7586630295431058
4,0.7095869742880493,0.907483403140863,0.6489917686402115,0.6331115185667482,0.7154636402543181,0.6051146164864787,0.8391193052933549,0.7475738624110416,0.929364433355816,0.7010631380973066,0.6678786662512282,0.7530162171728143,0.6615565428331853,"[[2139  161   13   30  305]
 [  72  145  179   12  331]
 [  16  173 2727  227  561]
 [   2    0   86  716    0]
 [   7   89   76    1 1206]]",0.675978967185653
5,0.7226126862387628,0.9168232004472033,0.6653883107395048,0.6494161991698079,0.7287330600954762,0.6229437046546271,0.7946661164079073,0.7545827043346992,0.9312191718784486,0.699227125537851,0.6809622569106389,0.7631977131039178,0.6664228903843057,"[[1966  344   30   27  281]
 [  14  211  260   11  243]
 [   4  185 3075  210  230]
 [   2    0   85  717    0]
 [   0  125  220    5 1029]]",0.6779808008459678
6,0.732432262525932,0.9224131145252464,0.6806484883563038,0.6621619789851356,0.7389716708072661,0.6367998707622157,0.7656640268604168,0.7756092301056717,0.9363780195701326,0.7055902727843111,0.6965549580907671,0.7810336253096477,0.6924914966762759,"[[2061  271   34   21  261]
 [  36  204  255    9  235]
 [   2  159 3188  141  214]
 [   2    0  125  677    0]
 [   0  140  173    3 1063]]",0.6338335687785872
7,0.7392342993650594,0.9258861394727308,0.6896281197387781,0.6710371676667488,0.7460825980813578,0.6462185917697374,0.7470397684578174,0.7574940694414493,0.9334550134553303,0.7030686413989196,0.6915645873382597,0.7716572598301572,0.6730948948201235,"[[2069  286   12   16  265]
 [  27  249  146    6  311]
 [   3  296 2922   86  397]
 [   2    3  192  605    2]
 [   0  124   72    3 1180]]",0.6509833053515206
8,0.7445778588042999,0.9293116516670018,0.6986416625120576,0.678472131969563,0.7516964659031168,0.6537724847827378,0.7285739125960835,0.7710804399396162,0.9380446179521605,0.7125552342832444,0.6800097246849062,0.7719228855932825,0.6909460143001125,"[[2206  143    4   28  267]
 [  72  135  169   12  351]
 [   9  139 2874  244  438]
 [   2    1   93  708    0]
 [   8   58   76    9 1228]]",0.6321520543819326
9,0.748991010247061,0.9321465683029808,0.7045760317852187,0.6844934522462995,0.7563209073416364,0.6599227691684431,0.713852593575326,0.7833728703903385,0.9417871837399749,0.7375144538983476,0.7051295837059968,0.7868515005093483,0.7082424801227446,"[[2402   85    1   16  144]
 [ 118  216  172   13  220]
 [  32  321 2788  314  249]
 [   6    0   51  747    0]
 [  37  141   79   10 1112]]",0.5923289526880579
10,0.7563839818947633,0.9353277272517122,0.7148785056253611,0.693958370160754,0.7634704522077377,0.669924670491435,0.6954498839571706,0.7908130256631443,0.9381548486740318,0.7161883018601668,0.6931004665956381,0.786979796653002,0.7145414057091592,"[[2378   72    5   29  164]
 [ 114  127  180   10  308]
 [  17  104 2981  172  430]
 [   2    0   95  706    1]
 [  43  116   72    6 1142]]",0.6054635319494958
11,0.7599673099893128,0.9376764230897969,0.7203862133077031,0.6991710589034776,0.7672452551790379,0.6749443952364729,0.6829131368007397,0.7454172956653008,0.9328498047567566,0.7000395073799611,0.6758962178927257,0.757738619796903,0.6599964359734873,"[[2004  267    7   18  352]
 [  13  161  135    5  425]
 [   3  269 2770   95  567]
 [   2    0  140  662    0]
 [   0   27   31    5 1316]]",0.6669956153796547
12,0.7649965424027158,0.9403241438562848,0.7277016863403519,0.705080489660985,0.7721416604570782,0.6818307419782448,0.6682178524270875,0.7702178132413198,0.9321212047227059,0.7083534669595548,0.6799785462657556,0.772192186356118,0.6897628425693627,"[[2146  162    2   10  328]
 [  50  121  165   11  392]
 [   4  135 2902  169  494]
 [   2    4  114  680    4]
 [   0   31   49    5 1294]]",0.6615267543478474
13,0.7693342553592758,0.9420097838149962,0.7334024675180133,0.711815797920614,0.7765604797642508,0.6877281841173059,0.657764328855553,0.7779814535259866,0.934555605732165,0.7152216690391482,0.6849235598041947,0.7775701899646721,0.7003393676200285,"[[2327   93    0   19  209]
 [  83  109  143    8  396]
 [  13  131 2815  150  595]
 [   3    4   89  705    3]
 [   7   67   40    6 1259]]",0.6554388149178705
14,0.7729301565348589,0.9436077203233723,0.7390737129056325,0.7154473828294649,0.7801432114924668,0.6927261641961941,0.6483481226759088,0.7979296959240888,0.9396191774609175,0.7055956422094345,0.7060325283869778,0.7975834186836527,0.721394973502789,"[[2321  124    1    4  198]
 [  75  170  208    3  283]
 [   8  197 3139   46  314]
 [   2    4  231  560    7]
 [   8   80   76    5 1210]]",0.6122476733107893
15,0.7743509146916452,0.9450562801907985,0.7398336561808736,0.717880768330313,0.781443999309649,0.694519223203201,0.6374889224533493,0.7732370066853569,0.9369560542556622,0.7409776956610278,0.7114054839406797,0.784927292837735,0.6977848453105406,"[[2352  120    0    3  173]
 [  73  284  103   11  268]
 [  14  465 2657  199  369]
 [   5    7  103  681    8]
 [  10  134   33    5 1197]]",0.6148204389428938
16,0.7782485698120324,0.9468989763557312,0.7465610539955243,0.7237648113060644,0.7855803437196045,0.6999517355366318,0.6277855555671116,0.7862842354970886,0.9432254203862402,0.7538708377048214,0.7267426038018201,0.7979140149858972,0.7139876972685577,"[[2385  138    0    6  119]
 [  87  313  121   10  208]
 [  21  455 2756  185  287]
 [   6    1   84  710    3]
 [  25  180   38    8 1128]]",0.582771359006811
17,0.7788395046206072,0.9475194825392901,0.7474750080845052,0.7243791386131931,0.7861669811572679,0.7008346007870752,0.6240326829264463,0.7995471209833944,0.9414487326363711,0.72984548547382,0.7100339680885044,0.7992125065056879,0.7269786179070543,"[[2345  100    0    8  195]
 [  85  162  185   10  297]
 [  12  154 3013  161  364]
 [   2    2  108  688    4]
 [   9  109   48    6 1207]]",0.5930899738352999
18,0.7851637643804614,0.949410894384674,0.7546972147854845,0.731589608990627,0.7917265369673288,0.7090602278789614,0.6114520292882535,0.798361009273237,0.94415977197015,0.7436355511538557,0.7291249297330611,0.8061578007323854,0.7266510548150508,"[[2390  102    0   18  138]
 [ 101  285  148    9  196]
 [  16  351 2952  125  260]
 [   2    3  130  664    5]
 [  19  183   53   11 1113]]",0.574521732311724
19,0.7853775067580311,0.949433210359411,0.7552686926648342,0.7319998756759186,0.7924005412116312,0.7095380062470307,0.6112982106049926,0.7792753935734311,0.9379715830474795,0.7234267238664881,0.7080867321988584,0.7873673573237584,0.7025407902415705,"[[2346  111    0    7  184]
 [  83  215  116    6  319]
 [  10  376 2788   77  453]
 [   2    4  165  628    5]
 [   9   84   32    4 1250]]",0.6224486488335361
20,0.7855786760545672,0.9504304917143263,0.7563222825005895,0.7328615746359024,0.7926687490080117,0.7098999804330313,0.6045362054968177,0.7919991373733017,0.9421766981506947,0.7454469293412509,0.7262040091794142,0.8017746491962177,0.7195538771210355,"[[2322  161    0    6  159]
 [  73  288  133   10  235]
 [   6  340 2901  147  310]
 [   2    4  122  670    6]
 [  12  149   48    6 1164]]",0.5943846193957469
21,0.7894889042559879,0.9513805379566167,0.7610092452672811,0.737888209917415,0.7961269409484548,0.7149743492229735,0.5987773860303507,0.7951261591546258,0.9425104974320033,0.7425136931061087,0.7172610797325867,0.7977322987845143,0.7234475009482823,"[[2382  104    1    8  153]
 [  90  202  137   10  300]
 [  19  230 2848  172  435]
 [   5    1   92  699    7]
 [  12   85   33    6 1243]]",0.5956209332559977
