epoch,adv_loss,disc_loss,generator_loss,kl_loss,logits_fake,logits_real,loss,rec_loss,spectral_loss,val_adv_loss,val_kl_loss,val_loss,val_rec_loss,val_spectral_loss
1,,,,4301.97167000122,,,0.4534528298348188,0.14488080819249152,2.65552301568985,,5786.165248747795,0.3925505683409728,0.10311120181142734,2.3157771198156243
2,,,,5088.324945410156,,,0.4033493807822466,0.11579776712730527,2.366683616089821,,6728.380637313913,0.3692653580367016,0.0881291096525756,2.1385243942935346
3,,,,5305.307177441407,,,0.386415710067749,0.10783493454009295,2.2552770134210585,,6204.592300274405,0.37268605099536034,0.08759749633815861,2.2304262934329873
4,,,,5373.840411181641,,,0.37780988578498365,0.10372542029991746,2.2034605949640276,,6026.1634366786975,0.35950085913874036,0.08613373986971114,2.131054838406875
5,,,,5392.764053222656,,,0.3713401354163885,0.1012075566150248,2.162049359536171,,6458.236689976284,0.35413560579415015,0.08117773752736812,2.0837549730654685
6,1.2622859049797057,0.5003107289910317,0.3989723870187998,5333.640069384765,-0.9410626296281814,1.08316405210495,0.3989723870187998,0.10923420111984014,2.2377891375541688,0.6307406799035138,6372.385254820371,0.364912480442068,0.08522024335208765,2.1596838334051696
7,1.0726781949043274,0.5631747037768364,0.3953118322998285,5454.064364990234,-0.8102615153551102,0.9655802349209786,0.3953118322998285,0.1083983076326549,2.2164608228206633,0.174774534691314,6454.176769907024,0.37178952889817374,0.09139528896065197,2.158524681071532
8,0.964050641069891,0.5791562052488327,0.3872383655423187,5528.357764521655,-0.7491450566768646,0.8937052114009857,0.3872383655423187,0.1048001843819644,2.175141052332705,nan,6645.327431885328,0.3779973235101469,0.09455186024164429,2.169921870124505
9,0.9171613109519563,0.5921135984778404,0.38160550600887655,5565.371566259766,-0.7308282762527466,0.8421983068943024,0.38160550600887655,0.10274096220287592,2.1404133820490827,nan,nan,nan,nan,nan
10,0.8592782270481502,0.6032602831959725,0.37717431741348384,5599.8242167964845,-0.7000410903930664,0.802026097202301,0.37717431741348384,0.10090303525647584,2.116802240400511,nan,7054.866591282154,0.36436816149558615,0.08576741478832928,2.080520774156267
11,0.8291612586021423,0.6148927167534828,0.37515191170275214,5638.437694580078,-0.6764427548885346,0.7898739709377289,0.37515191170275214,0.09997070243805647,2.1050515363693236,nan,43162.25937417026,nan,nan,nan
12,0.8014279802799225,0.6230005031824112,0.3738618305325508,5683.779242749023,-0.6582587414741516,0.7806185274124146,0.3738618305325508,0.09948833578824998,2.0952140745639802,nan,6730.548630182644,0.3614143624318086,0.08534066178213616,2.087682131111347
13,0.7642309059858322,0.6281579274177551,0.3689280609101057,5694.061265234375,-0.6429855172634125,0.7683612311840058,0.3689280609101057,0.09757389159798623,2.067712440299988,nan,8296.683947796097,nan,nan,nan
14,0.7856715386045959,0.6122002974033356,0.3691905070052287,5708.555317948355,-0.6744314634084702,0.8062244782447815,0.3691905070052287,0.09771915638991108,2.065291023702711,nan,6938.956464073076,0.36295043902840757,0.08562345766625475,2.079374147312982
15,0.7951660999298096,0.607156697845459,0.368021848988533,5728.220705957031,-0.6968895835638046,0.8046158155798913,0.368021848988533,0.09716430055573583,2.0562368314743042,nan,6646.7858339652485,0.3539228510746758,0.08132641568880802,2.0612857470177284
16,0.7777767233252525,0.5954766340255737,0.3656516660094261,5729.811611181641,-0.6963282938241958,0.8333806681632996,0.3656516660094261,0.09616947324052454,2.0440631587982176,nan,7975.334539598034,nan,nan,nan
17,0.7804201694011689,0.5816425028443336,0.36346472077667713,5737.425782958984,-0.7170001088142395,0.8559035977840423,0.36346472077667713,0.0952519483782351,2.0303435087919235,nan,6934.016116304881,nan,nan,nan
18,0.7857933375424779,0.5691917021274566,0.36307836912243,5740.465351468732,-0.741015381526947,0.8729019211769105,0.36307836912243,0.095133428210156,2.0268231302195727,nan,7361.6783509847755,nan,nan,nan
19,0.8160429010391236,0.5411933655500412,0.36247798559367655,5733.939172851563,-0.7926033362865448,0.9379934867978096,0.36247798559367655,0.09478424993157387,2.0219394128799437,nan,7437.170480965469,nan,nan,nan
20,0.8629222697496414,0.507821086537838,0.364829880669713,5738.969284619141,-0.857808641910553,1.0184070516109467,0.364829880669713,0.09573442738503218,2.03076502366066,nan,6372.551808581375,0.3654389503639415,0.08643107543740215,2.152823552145936
