epoch,ema_m,jepa_loss,loss,val_jepa_loss,val_loss
1,1.0,0.32475807486890673,0.32475807486890673,0.3762721131354021,0.3762721131354021
2,0.9999931806517014,0.316565038720552,0.316565038720552,0.3594176780639423,0.3594176780639423
3,0.9999729086208503,0.2974294476033641,0.2974294476033641,0.3279419380673615,0.3279419380673615
4,0.9999397368756032,0.26591436176740824,0.26591436176740824,0.2990440021908503,0.2990440021908503
5,0.9998945702546982,0.26321538972432446,0.26321538972432446,0.3429446343229526,0.3429446343229526
6,0.9998386407858129,0.32216672055664947,0.32216672055664947,0.44103030781454755,0.44103030781454755
7,0.9997734740790613,0.4062798047904951,0.4062798047904951,0.5423956095554312,0.5423956095554312
8,0.9997008477123265,0.47581225098017227,0.47581225098017227,0.5936780685082425,0.5936780685082425
9,0.9996227427435704,0.5058345991059858,0.5058345991059858,0.6172778248631706,0.6172778248631706
10,0.9995412896727361,0.4614322723035425,0.4614322723035425,0.48590292861788636,0.48590292861788636
11,0.9994587103272639,0.3395167047382004,0.3395167047382004,0.35810433604099134,0.35810433604099134
12,0.9993772572564296,0.3072321692620731,0.3072321692620731,0.3942040949111321,0.3942040949111321
13,0.9992991522876735,0.34028138013391596,0.34028138013391596,0.38635779986227,0.38635779986227
14,0.9992265259209387,0.29522768618173445,0.29522768618173445,0.30477188817328876,0.30477188817328876
15,0.9991613592141871,0.21751140333171937,0.21751140333171937,0.2177529777898345,0.2177529777898345
16,0.9991054297453018,0.15986560047950676,0.15986560047950676,0.15900092292577028,0.15900092292577028
17,0.9990602631243968,0.12182306207963844,0.12182306207963844,0.11736453045592751,0.11736453045592751
18,0.9990270913791497,0.09295381937740849,0.09295381937740849,0.08879195203094982,0.08879195203094982
19,0.9990068193482986,0.07534971158053907,0.07534971158053907,0.07533830453230198,0.07533830453230198
20,0.999,0.06761397783992051,0.06761397783992051,0.06993762854659973,0.06993762854659973
